density,m,n,mean_new,std_new,version_new,mean_old,std_old,version_old
0.5,10000,10000,0.676895559120057,0.16296763413534202,new,0.7085230865598351,0.049174999074154006,old
0.5,10000,1778,0.102762712300173,0.0038069063911210003,new,0.11630569683317502,0.001078723264631,old
0.5,10000,316,0.02675725351004,0.0010920216296400002,new,0.035966926499289,0.00028935886951600003,old
0.5,10000,56,0.005448084239906,0.00044942491551100004,new,0.007590111870049001,0.00041993692252400005,old
0.5,10000,10,0.002696989040196,0.000345791118732,new,0.0026305752900220004,0.000117880252738,old
0.5,1778,10000,0.100457265200057,0.004460375640218,new,0.12091576299947801,0.001024383203021,old
0.5,1778,1778,0.027176791059901003,0.0017013440452880002,new,0.03357768763999,0.0014146610999420002,old
0.5,1778,316,0.0062287476101480005,0.0006784501950090001,new,0.007657826129761001,0.00048344319942200003,old
0.5,1778,56,0.0021877795699760004,0.000363400804722,new,0.002490322230114,0.00029231123497600004,old
0.5,1778,10,0.001133942170126,0.000156367982502,new,0.0015072726499420002,0.00013621939766600001,old
0.5,316,10000,0.027802637739878,0.0016934756798570002,new,0.032135368769813,0.0010726510446320001,old
0.5,316,1778,0.005309275520085001,0.00044279863675200003,new,0.007652901899964,0.000496031788115,old
0.5,316,316,0.002561492430213,0.000456340512601,new,0.002604905789994,0.000357243168114,old
0.5,316,56,0.001087330510017,0.00011924322112400001,new,0.001464453179978,0.00011434132254700001,old
0.5,316,10,0.0009345041098270001,0.00010407382701900001,new,0.0012879924200020001,0.00010393687273,old
0.5,56,10000,0.006373822130153001,0.000388375703454,new,0.007759385559838,0.00041114607620100003,old
0.5,56,1778,0.001882675900014,0.00025816198503400003,new,0.0025287602099700003,0.00028447931144600004,old
0.5,56,316,0.001066986840014,8.175938365509528e-05,new,0.001494781830188,0.000153097773284,old
0.5,56,56,0.000910729749884,9.885718553336773e-05,new,0.001262855619897,7.562446623021246e-05,old
0.5,56,10,0.0008743173299440001,9.158973273176591e-05,new,0.0012641437099950002,0.00010572433578,old
0.5,10,10000,0.0018496212699020001,0.00031440336488,new,0.002656354569844,0.000188248904877,old
0.5,10,1778,0.001092939009758,0.000144440587676,new,0.0015095634201130002,0.00013376380656500002,old
0.5,10,316,0.000924344619925,9.353632757532767e-05,new,0.00127716578012,8.83200098344614e-05,old
